id,name,comment,time
51,May Lim,I have a Citibank card which I just registered for GrabPay. Please advise on what is the promo code for the RM40 off next 5 rides. Thanks. I have a Citibank card which I just registered for GrabPay. Please advise on what is the promo code for the RM40 off next 5 rides. Thanks. I have a Citibank card which I just registered for GrabPay. Please advise on what is the promo code for the RM40 off next 5 rides. Thanks. 1 1  1 · Like · ·,2017-05-20T12:34:49Z
52,Grab,"Author  Hi May Lim, please be informed that there is no promo code required as you will be receiving a message on the promo once you have allocated the Grab Car or Grab Share under Grabpay. Hi May Lim, please be informed that there is no promo code required as you will be receiving a message on the promo once you have allocated the Grab Car or Grab Share under Grabpay. Hi May Lim, please be informed that there is no promo code required as you will be receiving a message on the promo once you have allocated the Grab Car or Grab Share under Grabpay. · Like · ·",2017-05-20T12:37:54Z
53,Caster Cat,How will I receive the message? How will I receive the message? How will I receive the message? · Like · ·,2017-05-20T15:26:03Z
54,Grab,Author  The message will be sent to the mobile number once you have allocated the Grab Car or Grab Share under Grab pay if the criteria for the promo is met. Thank you. The message will be sent to the mobile number once you have allocated the Grab Car or Grab Share under Grab pay if the criteria for the promo is met. Thank you. The message will be sent to the mobile number once you have allocated the Grab Car or Grab Share under Grab pay if the criteria for the promo is met. Thank you. · Like · ·,2017-05-20T15:30:54Z
55,Caster Cat,Is after book grab ride or by just key in the card details? Is after book grab ride or by just key in the card details? Is after book grab ride or by just key in the card details? · Like · ·,2017-05-20T15:31:49Z
56,Grab,Author  Kindly PM us for more details. Thank you. Kindly PM us for more details. Thank you. Kindly PM us for more details. Thank you. · Like · ·,2017-05-20T15:32:58Z
57,Rais Aniq,Grab hi can you pmMe too I have registered with CITIBANK card. Grab hi can you pmMe too I have registered with CITIBANK card. hi can you pm Me too I have registered with CITIBANK card. · Like · ·,2017-06-10T10:43:59Z
58,Grab,"Author  Hi Rais. This offer is only valid for first-time Citibank card Grab users. In other words, if you have to use Citibank with GrabPay before this then you are not entitled for the promo. You may visit http://grb.to/GrabxCiti17 for more information on the T&C. Thank you Hi Rais. This offer is only valid for first-time Citibank card Grab users. In other words, if you have to use Citibank with GrabPay before this then you are not entitled for the promo. You may visit http://grb.to/GrabxCiti17 for more information on the T&C. Thank you Hi Rais. This offer is only valid for first-time Citibank card Grab users. In other words, if you have to use Citibank with GrabPay before this then you are not entitled for the promo. You may visit for more information on the T&C. Thank you Citibank Malaysia  · Like · ·",2017-06-10T10:50:10Z
59,Lim Darren,"I m a Citibank card user and already registered on GRABPAY , any solution to get the PROMO? I m a Citibank card user and already registered on GRABPAY , any solution to get the PROMO? I m a Citibank card user and already registered on GRABPAY , any solution to get the PROMO? · Like · ·",2017-05-22T05:11:51Z
60,Grab,"Author  Hi Darren. This offer is only valid for first-time Citibank card Grab users. In other words, if you have used Citibank with GrabPay before this then you are not entitled to the promo. Kindly visit http://grb.to/GrabxCiti17 for more information. Thank you Hi Darren. This offer is only valid for first-time Citibank card Grab users. In other words, if you have used Citibank with GrabPay before this then you are not entitled to the promo. Kindly visit http://grb.to/GrabxCiti17 for more information. Thank you Hi Darren. This offer is only valid for first-time Citibank card Grab users. In other words, if you have used Citibank with GrabPay before this then you are not entitled to the promo. Kindly visit for more information. Thank you Complimentary 20X Grab rides for new Citi cardmembers. Apply now​  · Like · ·",2017-05-22T06:11:18Z
61,Ferry Emil,Cheapskate Cheapskate Cheapskate 2 2  2 · Like · ·,2017-05-20T03:57:41Z
62,Mike Grey Deth,where is the promo for cash riders?? where is the promo for cash riders?? where is the promo for cash riders?? · Like · ·,2017-05-22T05:59:42Z
63,Grab,Author  Hi Mike. Rest assured we have promotions coming soon and stay tuned to our social media platforms so that you can be informed of our upcoming promotions. Thank you Hi Mike. Rest assured we have promotions coming soon and stay tuned to our social media platforms so that you can be informed of our upcoming promotions. Thank you Hi Mike. Rest assured we have promotions coming soon and stay tuned to our social media platforms so that you can be informed of our upcoming promotions. Thank you · Like · ·,2017-05-22T06:12:24Z
64,Vicky Chua,John Koh we both should register for this ☺️ John Koh we both should register for this ☺️ we both should register for this ☺️ ☺️ ☺️ · Like · ·,2017-06-06T16:46:57Z
65,Angel Loh,My payment keep fail and rejected.so i try to key in another card details.but fail again!How to remove card details from my account? My payment keep fail and rejected.so i try to key in another card details.but fail again!How to remove card details from my account? My payment keep fail and rejected.so i try to key in another card details.but fail again! How to remove card details from my account? 1 1  1 · Like · ·,2017-05-21T03:10:54Z
66,Grab,Author  Hi Angel Loh. Could you PM us with your contact number so that we could check on this? Thank you Hi Angel Loh. Could you PM us with your contact number so that we could check on this? Thank you Hi Angel Loh. Could you PM us with your contact number so that we could check on this? Thank you · Like · ·,2017-05-21T03:12:54Z
67,Rahul Garg,What is the promo need to add while booking a grab when citibank card is registered? What is the promo need to add while booking a grab when citibank card is registered? What is the promo need to add while booking a grab when citibank card is registered? · Like · ·,2017-05-20T12:05:16Z
68,Grab,Author  Hi Rahul. we have PM the details. Thank you. Hi Rahul. we have PM the details. Thank you. Hi Rahul. we have PM the details. Thank you. · Like · ·,2017-05-20T12:28:30Z
69,Daisy D Daisy,"Hi, the t&c is it's valid for 10000 redemptions. Have all the promo been redeemed? Is this promo still applicable? Hi, the t&c is it's valid for 10000 redemptions. Have all the promo been redeemed? Is this promo still applicable? Hi, the t&c is it's valid for 10000 redemptions. Have all the promo been redeemed? Is this promo still applicable? · Like · ·",2017-06-05T00:39:40Z
70,Grab,"Author  Hi Daisy. Yes, However, Promo is valid from 17th May to 14th June and valid for first-time Citibank cards users. Thank you Hi Daisy. Yes, However, Promo is valid from 17th May to 14th June and valid for first-time Citibank cards users. Thank you Hi Daisy. Yes, However, Promo is valid from 17th May to 14th June and valid for first-time Citibank cards users. Thank you · Like · ·",2017-06-05T00:50:18Z
71,Si Amangkurrat,I already sell my subaru forester and use the grab... I already sell my subaru forester and use the grab... I already sell my subaru forester and use the grab... 1 1  1 · Like · ·,2017-05-20T06:20:59Z
72,Nazri Saan,great one great one great one · Like · ·,2017-05-20T07:01:17Z
73,Lee Eng Leng,Xin Wei we can go out eat liao 😏😏 Xin Wei we can go out eat liao 😏😏 we can go out eat liao 😏😏 😏 😏 😏 😏 · Like · ·,2017-05-20T02:56:47Z
74,Xin Wei,😂rm40 for 5 rides wei!! Can go far far jor... 😂rm40 for 5 rides wei!! Can go far far jor... 😂rm40 for 5 rides wei!! Can go far far jor... 😂 😂 · Like · ·,2017-05-20T02:58:29Z
75,Lee Eng Leng,I think is average up off RM8 per ride only lo..haha I think is average up off RM8 per ride only lo..haha I think is average up off RM8 per ride only lo..haha · Like · ·,2017-05-20T03:00:18Z
76,Xin Wei,oh yeah then that makes sense...XD oh yeah then that makes sense...XD oh yeah then that makes sense...XD · Like · ·,2017-05-20T03:11:07Z
77,Kamran Haider Tunio,Hi I just got my citi card approved end of last month. What is the promo code to enjoy the free rides? Hi I just got my citi card approved end of last month. What is the promo code to enjoy the free rides? Hi I just got my citi card approved end of last month. What is the promo code to enjoy the free rides? · Like · ·,2017-05-21T02:27:17Z
78,Grab,Author  Hi Kamran. 1)Launch your Grab app.2)Tap the menu button on the top left of the home screen.…See more Hi Kamran. 1)Launch your Grab app.2)Tap the menu button on the top left of the home screen.…See more Hi Kamran. 1)Launch your Grab app.2)Tap the menu button on the top left of the home screen. Hi Kamran. 1)Launch your Grab app. 2)Tap the menu button on the top left of the home screen. … Citibank Malaysia  · Like · ·,2017-05-21T02:37:28Z
79,Zhi Liang Lai,"What the hell is wrong with your server?Every time I key in promo code,can't connect to server? What the hell is wrong with your server?Every time I key in promo code,can't connect to server? What the hell is wrong with your server?Every time I key in promo code,can't connect to server? · Like · ·",2017-05-21T08:51:09Z
80,Grab,Author  Hi Zhi Liang. Apologies for the inconvenience caused. Could you PM us with your contact number so that we could check on your Grab Account? Thank you Hi Zhi Liang. Apologies for the inconvenience caused. Could you PM us with your contact number so that we could check on your Grab Account? Thank you Hi Zhi Liang. Apologies for the inconvenience caused. Could you PM us with your contact number so that we could check on your Grab Account? Thank you · Like · ·,2017-05-21T08:55:49Z
81,Vicky Lin,Others bank can ma Others bank can ma Others bank can ma · Like · ·,2017-05-20T04:52:39Z
82,Christy Wong,What is the promo code? What is the promo code? What is the promo code? · Like · ·,2017-05-20T04:21:03Z
83,Harris Abdul Rahim,How about other banks' credit card? Any promos? How about other banks' credit card? Any promos? How about other banks' credit card? Any promos? · Like · ·,2017-05-23T12:39:06Z
84,Sillysilly Bae,"Hi, I try to register but it keep says invalid code.. Hi, I try to register but it keep says invalid code.. Hi, I try to register but it keep says invalid code.. · Like · ·",2017-05-20T02:09:01Z
85,Grab,"Author  Hi Silly, Kindly PM us your contact details so that we can help you to check. Hi Silly, Kindly PM us your contact details so that we can help you to check. Hi Silly, Kindly PM us your contact details so that we can help you to check. · Like · ·",2017-05-20T02:13:14Z
86,Kok Chung,All citibank card can ? All citibank card can ? All citibank card can ? · Like · ·,2017-05-20T04:18:35Z
87,Suet Ling Ice,Y must be Citibank but not other bank like uob Y must be Citibank but not other bank like uob Y must be Citibank but not other bank like uob · Like · ·,2017-05-20T04:14:58Z
88,Grab,"Hi, Mashitah. We will explain this to you via DM. Kindly check your inbox. Thank you.",2017-04-21T22:39:51Z
89,AmirAli Jahromi,I've used grabpay but i haven't recieved any promocode! why?,2017-04-16T07:38:40Z
90,Grab,"Hi AmirAli. If you have successfully completed at least ONE ride on GrabPay (credit/debit card) between 10th April – 30th April 2017, you will be contacted by Grab within the first 5 working days of each month in May, June and July to inform you about the promo code that you will be entitled for. For more information, kindly visit https://www.grab.com/my/blog/grabpayapril/ . Thank you :)",2017-04-16T07:41:31Z
91,Claire Tiong,"what is the promo code for this, i accidentally clear the notifications...",2017-06-25T00:55:41Z
92,Grab,We have PM you the details. Thank you.,2017-06-25T00:58:00Z
93,Daniel Chong,"When I was in Bangkok suddenly says my account suspended. Reinstall apps still the same. Used Uber instead, no reason to suspend me.",2017-04-15T08:11:56Z
94,Grab,Hi Zaki. Have you walked into any nearest kiosk or Grab Driver's Centre for document verification?,2017-04-16T07:09:20Z
95,Jän Hahn Liang,I have completed atleast one ride using GrabPay in April but until today I can't use promo CASHLESS 7 or receive any promo on the RM10 off each month,2017-05-20T05:57:49Z
96,Sharifah Aqilah Abdul Razak,how to use the rm10 off if using debit card?,2017-04-15T15:26:13Z
97,Grab,"Hi, Aqilah. You will be receiving a unique code to key in for the next time you make a booking. Please note that you will be contacted within the first 5 days of the next months.",2017-04-15T15:30:20Z
98,Juliana Ting,How to know whether am I entitled to get this promo?,2017-04-14T07:50:31Z
99,Grab,This promo is valid for all GrabPay users :),2017-04-14T07:55:58Z
100,Nguyễn Tường Hy,"Grab sent me the Promotion Code that can be used 10 times x RM 10. I just could use it 2 times.  I sent complanation 30 days ago, but there was no any reasonable reply from Grab:  ""Please be informed with the previous email that you sent to us,you just…See more",2017-04-16T03:04:01Z
101,Grab,Hi There. Upon checking on the appeasement promo code(AGZJ9ZY) that was sent to you on 10th January 2017. Kindly be informed that it is valid for 1-time usage only. You may check your PM for more information. Thank you :),2017-04-16T03:15:49Z
102,Hajar Muhamad Azmi,What is the promo code?,2017-04-14T23:42:56Z
103,Grab,"Hi There. In order to be eligible for RM10 off x  1 ride every May, June and July 2017, you need to complete at least ONE Grab ride anytime from 10th April to 30th April 2017 with GrabPay (credit/debit card). For more information, kindly visit https://www.grab.com/my/grabpayapril2/ . Thank you",2017-04-15T04:41:58Z
104,Christopher Tan,I still don undestand the entitlement ... can you just simply it ... 10 april i got use one time grab with credit card .. then,2017-04-16T02:02:12Z
105,Grab,"Hi Christopher, In order to be eligible for RM10 off x 1 ride every May, June and July 2017, you need to complete at least ONE Grab ride from 10th April to 30th April 2017 with GrabPay (credit/debit card). For more information, kindly visit https://www.grab.com/my/blog/grabpayapril/ . Thank you :)",2017-04-16T02:14:25Z
106,Qamarina Shariffudin,"I try to use the grab pay but when I done register, it suddenly stated bad input? Why?",2017-04-19T05:14:12Z
107,Grab,"Hi Qamarina, Could you PM us with your contact number and the screenshot of the error so that we could assist you accordingly? Thank you",2017-04-19T05:22:13Z
108,Zhe Xiang XD,Please explain to me why my transaction using debit card is always not successful no matter which card I choose to use. As a result my account was banned from using GrabPay and I have been missing on a lot of promotions. Please settle this issue as soon as possible or you might lost a loyal customer.,2017-04-19T08:49:21Z
109,Grab,"Hi Zhe Xiang XD, Could you PM us with your contact number so that we could assist you accordingly? Thank you",2017-04-19T08:54:38Z
110,Rou Jong,"Hi, i am facing a prob where i change my hp recently and i reinstall the app on my phone but the notification about the promo code is gone. Whereas i haven't used it for this month. May i know how do i recover the code for this promo or are u able to resend the code to me? Thank you.",2017-05-19T11:42:56Z
111,Grab,Hi Siaw! We have PM you. Kindly check.,2017-05-19T11:45:41Z
112,Alif Hilmi,hati2 pd yg pakai kredit kad:p,2017-04-15T16:59:30Z
113,Mohamed Shahir,Garb now in kelantan.. Im grab driver,2017-04-14T07:23:47Z
114,Rubel Bahar,Some of driver really disgasting,2017-04-15T22:31:03Z
115,Wei Ling,"Hi, i booked a car yesterday, i paid using debit card, but the transaction is nt successful n my Grabpay system is suspended. Making payment by cash is impossible since the driver leave. So i add on another card so that i cn clear de payment. I checked…See more",2017-04-30T16:04:37Z
116,Grab,Hi Wei Ling. Sorry to hear about that. Could you provide us with your contact number so that we could assist you accordingly?,2017-04-30T16:08:16Z
117,Alveena Mza Ahmad,Please explain to me why my transaction using debit card is always not successful no matter which card I choose to use. As a result my account was banned from using GrabPay and I have been missing on a lot of promotions. Please settle this issue as soon as possible or you might lost a loyal customer. My phone no is 0126121023 - kuala lumpur malaysia,2017-04-21T22:33:57Z
118,Jack Ee,"May i know why my card is still suspended? It happen after i use this promo, i am very sure i have enough figure in my acc to pay but its seems like dont want to take it as usual. Retry to pay few times already, bank issue or apps issue?",2017-04-17T17:01:42Z
119,Grab,"Hi, Jack. Could you please PM us your phone no so we can further look into it? :) Thank you.",2017-04-17T17:06:04Z
120,Ourphy Walter,Drivers cancelled promo booking mostly and company giving us Free rides it's amazing...,2017-04-14T19:52:38Z
121,Joyce Lee,I try to use but credit card if I use grab but don't know how to use,2017-04-15T10:36:22Z
122,Grab,"Hi, Joyce. Could you please PM us your number so we can check your account?",2017-04-15T10:45:39Z
123,Michelle Ng Foong Mei,How will we receive the notification that we get the RM10 off ?,2017-04-15T14:02:00Z
124,Grab,Hi Michelle. Promo code CASHLESS7 is only valid for Grab users who received a notification via the Grab app or an e-mail directly from Grab. Thank you,2017-04-16T05:19:39Z
125,Mohd Khairul Yusof,"Hi grab, i think i have completed a transaction via grabpay but how do i know that my account is already entitled to this promo? Thanks",2017-04-14T07:22:59Z
126,Fadzlin Sarah Mohd Ghazali,Alveena Mza Ahmad fb msg sini,2017-04-21T15:26:38Z
127,Hong Hlc,"Grab my account was suspended for no reason. Appeal on 1/4/2017, already more than 10 workings day. What is the status now?",2017-04-16T05:36:25Z
128,Grab,Hi Hong. Kindly be informed that we have escalated to the relevant team in regards to your account status. We would be notifying you once we have received an update. Thank you and your patience is highly appreciated.,2017-04-16T06:01:10Z
129,Cha Ling,"Hi, is this oni applicable to new user?",2017-04-20T13:10:29Z
130,Jafri Mahmood,My acc suddenly get suspended and already sent borang rayuan twice but no response!,2017-04-14T17:02:25Z
131,Kamarul Hafiz Shaari,adik lelaki saya pun buat grabcar 6 seater...bagus grab menyokong kereta persendirian dan teksi,2017-04-16T04:26:39Z
132,Saiful Nizam,"May i know why my card is still suspended? It happen after i use this promo, i am very sure i have enough figure in my acc to pay but its seems like dont want to take it as usual. Retry to pay few times already, bank issue or apps issue?",2017-04-14T12:44:41Z
133,Grab,We have already PMed you and requested for your phone number. Kindly check your inbox. Thank you.,2017-04-14T12:53:39Z
134,BestLah,http://best-lah.blogspot.my/.../grab-book-with-grabpay-be...,2017-04-19T14:42:26Z
135,Kimmy Hoh,I wonder why I can't use CASHLESS7 promo code,2017-04-17T07:32:27Z
136,Grab,Hi Kimmy. Kindly be informed that the promo code CASHLESS7 is only valid for Grab users who received a notification via the Grab app or an e-mail directly from Grab. Kindly visit https://www.grab.com/my/grabpayapril2/ for more information. Thank you:),2017-04-17T07:35:58Z
137,Grab,"Author  Congrats to the Samsung Galaxy S8/S8+ winners below! Soon, you’ll be unboxing your new smartphones. Collection details will be sent via SMS shortly. So keep a lookout for it! (Judges decisions are final.)Jaron Yap, Daniel, Tshasha, Kien Wei, Dylan Hii, Harvey, Jegan, Bananana, Ace and Gabriel Abadiano Jr. T&C  http://grb.to/2grabs8 Congrats to the Samsung Galaxy S8/S8+ winners below! Soon, you’ll be unboxing your new smartphones. Collection details will be sent via SMS shortly. So keep a lookout for it! (Judges decisions are final.)Jaron Yap, Daniel, Tshasha, Kien Wei, Dylan Hii, Harvey, Jegan, Bananana, Ace and Gabriel Abadiano Jr. T&C  http://grb.to/2grabs8 Congrats to the Samsung Galaxy S8/S8+ winners below! Soon, you’ll be unboxing your new smartphones. Collection details will be sent via SMS shortly. So keep a lookout for it! (Judges decisions are final.) Jaron Yap, Daniel, Tshasha, Kien Wei, Dylan Hii, Harvey, Jegan, Bananana, Ace and Gabriel Abadiano Jr. T&C 10 10    10 · Like · ·",2017-05-22T06:27:28Z
138,Thiviya Rachel Eapen,Happy for the winners. 🎉🎉🎉 Happy for the winners. 🎉🎉🎉 Happy for the winners. 🎉🎉🎉 🎉 🎉 🎉 🎉 🎉 🎉 · Like · ·,2017-05-22T09:06:55Z
139,ZH IndiArt,"congrats for the winners, how many rides they made for the winners within this contest? congrats for the winners, how many rides they made for the winners within this contest? congrats for the winners, how many rides they made for the winners within this contest? 1 1  1 · Like · · ·",2017-05-22T10:07:31Z
140,Fei Pencil,Hi there! Just want to know is the collection date today and tomorrow or is it on 25-26? In SMS it states the later thanks Hi there! Just want to know is the collection date today and tomorrow or is it on 25-26? In SMS it states the later thanks Hi there! Just want to know is the collection date today and tomorrow or is it on 25-26? In SMS it states the later thanks · Like · ·,2017-05-24T01:13:10Z
141,Lorde Edge,Please let us know how many rides did they take to win :) Please let us know how many rides did they take to win :) Please let us know how many rides did they take to win :) :) :) · Like · ·,2017-05-24T06:44:45Z
142,Grab,Author  Hi Lorde. Kindly be informed that we are unable to reveal the information due to inaccessible reasons and also it involves other passenger details as well. Kindly refer to the link provided for the T&C as the judge's decision is final. Thank you and have a great day. :) Hi Lorde. Kindly be informed that we are unable to reveal the information due to inaccessible reasons and also it involves other passenger details as well. Kindly refer to the link provided for the T&C as the judge's decision is final. Thank you and have a great day. :) Hi Lorde. Kindly be informed that we are unable to reveal the information due to inaccessible reasons and also it involves other passenger details as well. Kindly refer to the link provided for the T&C as the judge's decision is final. Thank you and have a great day. :) :) :) 1 1  1 · Like · ·,2017-05-24T06:47:14Z
143,Lorde Edge,Well then :'( Well then :'( Well then :'( :'( :'( · Like · ·,2017-05-24T06:47:59Z
144,Nadzri Sazali,"You should put up a live scoreboard or something to ensure transparency to your users. Your users will love you more.And also, the participation rates will rise up as well. You should put up a live scoreboard or something to ensure transparency to your users. Your users will love you more.And also, the participation rates will rise up as well. You should put up a live scoreboard or something to ensure transparency to your users. Your users will love you more. And also, the participation rates will rise up as well. 2 2  2 · Like · · ·",2017-05-16T10:59:51Z
145,Thiruvengadam Namasivayam,Yea. I agree Yea. I agree Yea. I agree · Like · ·,2017-05-16T11:03:35Z
146,Elvis Tyw,Agree too Grab will you do that? Agree too Grab will you do that? Agree too will you do that? · Like · ·,2017-05-22T03:46:31Z
147,Grab,"Author  Hi Nadzri, Elvis.Thank you for bringing this to our attention. We appreciate the feedback, it’s actually great to hear suggestions from our passengers so we know what to add or improve in our system.…See more Hi Nadzri, Elvis.Thank you for bringing this to our attention. We appreciate the feedback, it’s actually great to hear suggestions from our passengers so we know what to add or improve in our system.…See more Hi Nadzri, Elvis.Thank you for bringing this to our attention. We appreciate the feedback, it’s actually great to hear suggestions from our passengers so we know what to add or improve in our system. Hi Nadzri, Elvis. Thank you for bringing this to our attention. We appreciate the feedback, it’s actually great to hear suggestions from our passengers so we know what to add or improve in our system. … · Like · ·",2017-05-22T03:48:46Z
148,Grab,"Author  Hi, Helmi Coup de Grace. Could you PM us with your phone number so that we could check further? Thanks. Hi, Helmi Coup de Grace. Could you PM us with your phone number so that we could check further? Thanks. Hi, Helmi Coup de Grace. Could you PM us with your phone number so that we could check further? Thanks. · Like · ·",2017-05-24T01:16:58Z
149,Suh Fritz,How much How much How much · Like · ·,2018-05-18T04:58:05Z
150,Mib Belal Ahmed,How much How much How much · Like · ·,2017-05-18T15:30:55Z
151,Grab,Author  Hi Mib. There will be 5 unit of Samsung Galaxy S8 and 5 unit of Samsung Galaxy S8+ to win. Kindly visit http://grb.to/2grabs8 for more information. Thank you Hi Mib. There will be 5 unit of Samsung Galaxy S8 and 5 unit of Samsung Galaxy S8+ to win. Kindly visit http://grb.to/2grabs8 for more information. Thank you Hi Mib. There will be 5 unit of Samsung Galaxy S8 and 5 unit of Samsung Galaxy S8+ to win. Kindly visit for more information. Thank you Grab a FREE Brand New Samsung Galaxy S8! | Grab Malaysia  1 1  1 · Like · ·,2017-05-18T15:37:34Z
152,Azim Rahim Lajis,How many S8 are you giving out? If it's just one then most people really lose out. Haha. How many S8 are you giving out? If it's just one then most people really lose out. Haha. How many S8 are you giving out? If it's just one then most people really lose out. Haha. 4 4  4 · Like · ·,2017-05-12T02:30:35Z
